id,airport_code,city,driver_name,driver_rating,driver_trips,cab_type,vehicle_model,passenger_capacity,base_fare,price_per_km,estimated_wait_minutes,is_electric,is_shuttle
1226, سات,Satna,Sanjay Rao,4.48,200,Executive Premium,Mercedes C-Class,4,1200,35,10,0,0
1227,CKU,Chakulia,Deepak Joshi,4.48,2063,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,3,0,0
1228,SIV,Sivasagar,Gaurav Tiwari,4.58,1265,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,11,1,0
1229,KNU,Kanpur,Manoj Gupta,4.6,1794,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,12,0,0
1230,HBX,Hubballi / Dharwad,Gaurav Tiwari,4.87,798,Airport Express Shuttle,Tata Winger Executive,12,180,8,7,0,1
1231,AMB,Ambikapur,Anil Deshmukh,4.9,2231,Sedan (Dzire/Etios),Toyota Etios,4,350,14,7,0,0
1232,IXR,Ranchi,Suresh Patel,4.48,1566,Airport Express Shuttle,Tata Winger Executive,12,180,8,12,0,1
1233,PAT,Patna,Mahesh Choudhary,4.6,1794,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,7,1,0
1234,IXY,Kandla,Santosh Kulkarni,4.87,722,Airport Express Shuttle,Tata Winger Executive,12,180,8,11,0,1
1235,MAA,Chennai,Dinesh Pillai,4.89,976,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,11,0,0
1236,TRZ,Tiruchirappalli (Trichy),Vikram Singh,4.86,2066,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,4,0,0
1237,MRA,Noida / Jewar,Amit Kumar,4.44,1686,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,14,1,0
1238,IXZ,Port Blair (Andaman),Rohan Mehta,4.84,1067,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,3,1,0
1239,VZY,Vijayawada,Gaurav Tiwari,4.86,1437,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,5,0,0
1240,IXY,Kandla,Pankaj Das,4.41,1673,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,4,0,0
1241,SXR,Srinagar,Amit Kumar,4.58,1611,Hatchback (WagonR),Hyundai i10,4,250,12,4,0,0
1242,LGP,Rupsi / Dhubri,Mahesh Choudhary,4.57,269,Executive Premium,Skoda Superb,4,1200,35,12,0,0
1243,AMRE,Amreli,Dinesh Pillai,4.53,1469,Executive Premium,Skoda Superb,4,1200,35,13,0,0
1244,DBR,Darbhanga,Amit Kumar,4.44,974,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,12,0,0
1245,BKN,Bikaner,Mahesh Choudhary,4.51,239,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,13,0,0
1246,SIV,Sivasagar,Amit Kumar,4.97,1821,Airport Express Shuttle,Tata Winger Executive,12,180,8,7,0,1
1247,BVC,Bhavnagar,Vikram Singh,4.55,1764,Executive Premium,Mercedes C-Class,4,1200,35,6,0,0
1248,SIV,Sivasagar,Rohan Mehta,4.75,591,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,8,0,0
1249,ATQ,Amritsar,Manoj Gupta,4.48,2134,Hatchback (WagonR),Hyundai i10,4,250,12,7,0,0
1250,AMB,Ambikapur,Rajesh Sharma,4.83,2270,Sedan (Dzire/Etios),Toyota Etios,4,350,14,10,0,0
1251,IXS,Silchar,Gaurav Tiwari,4.67,1632,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,3,0,0
1252,BOK,Bokaro,Amit Kumar,4.94,412,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,5,0,0
1253,JAI,Jaipur,Harpreet Singh,4.71,1693,Hatchback (WagonR),Hyundai i10,4,250,12,4,0,0
1254,MYQ,Mysuru,Vikram Singh,4.9,1457,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,9,0,0
1255,PBF,Bilaspur,Amit Kumar,4.77,1610,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,6,1,0
1256,PBF,Bilaspur,Praveen Nair,4.61,650,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,5,0,0
1257,JGD,Jagdalpur,Vikram Singh,4.58,755,Airport Express Shuttle,Force Traveller AC,12,180,8,7,0,1
1258,RAT,Ratlam,Gaurav Tiwari,4.64,2149,Hatchback (WagonR),Hyundai i10,4,250,12,9,0,0
1259,JGD,Jagdalpur,Rajesh Sharma,4.94,1781,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,13,0,0
1260,RKG,Durgapur,Suresh Patel,4.72,1030,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,8,0,0
1261,BID,Bidar,Manoj Gupta,4.75,1982,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,7,1,0
1262,IXZ,Port Blair (Andaman),Harpreet Singh,4.6,1531,Executive Premium,Toyota Camry Hybrid,4,1200,35,14,0,0
1263,HBI,Itanagar,Harpreet Singh,4.88,358,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,5,1,0
1264,KHA,Khandwa,Vijay Reddy,4.41,2277,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,8,1,0
1265,HBX,Hubballi / Dharwad,Mahesh Choudhary,4.72,2395,Airport Express Shuttle,Tata Winger Executive,12,180,8,7,0,1
1266,CCU,Kolkata,Vikram Singh,4.88,1478,Executive Premium,Toyota Camry Hybrid,4,1200,35,10,0,0
1267,BBI,Bhubaneswar,Harpreet Singh,4.92,1848,Hatchback (WagonR),Hyundai i10,4,250,12,9,0,0
1268,GAW,Guwahati,Ramesh Verma,4.74,1448,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,8,1,0
1269,KBK,Kushinagar,Rajesh Sharma,4.9,1196,Airport Express Shuttle,Force Traveller AC,12,180,8,10,0,1
1270,GAW,Guwahati,Manoj Gupta,4.59,1934,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,11,0,0
1271,PINJ,Panchkula / Pinjore,Anil Deshmukh,4.44,2177,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
1272,AMD,Ahmedabad,Harpreet Singh,4.73,1906,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,10,0,0
1273,JAI,Jaipur,Rohan Mehta,4.62,1560,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,13,0,0
1274,NVM,Navi Mumbai,Sunil Yadav,4.43,183,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,14,0,0
1275,AMRE,Amreli,Harpreet Singh,4.77,733,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
1276,IXL,Leh (Ladakh),Sanjay Rao,4.94,1582,Executive Premium,Mercedes C-Class,4,1200,35,11,0,0
1277,ZER,Ziro,Amit Kumar,4.63,1183,Executive Premium,Toyota Camry Hybrid,4,1200,35,7,0,0
1278,BDQ,Vadodara,Anil Deshmukh,4.49,2222,Hatchback (WagonR),Tata Tiago,4,250,12,9,0,0
1279,SIV,Sivasagar,Rajesh Sharma,4.42,786,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,3,0,0
1280,IXA,Agartala,Rohan Mehta,4.48,1654,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,7,0,0
1281,SLV,Shimla,Santosh Kulkarni,4.96,2196,Airport Express Shuttle,Force Traveller AC,12,180,8,8,0,1
1282,BHJ,Bhuj (Kutch),Manoj Gupta,4.91,1911,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,9,1,0
1283,ANK,Ankleshwar,Suresh Patel,4.47,1563,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,7,0,0
1284,DHM,Dharamshala / Kangra,Gaurav Tiwari,4.63,1099,Executive Premium,Skoda Superb,4,1200,35,9,0,0
1285,KAM,Kamalpur,Sanjay Rao,4.6,1692,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
1286,JLR,Jabalpur,Harpreet Singh,4.49,854,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,8,0,0
1287,TRZ,Tiruchirappalli (Trichy),Ramesh Verma,4.7,314,Executive Premium,Skoda Superb,4,1200,35,6,0,0
1288,AMD,Ahmedabad,Rajesh Sharma,4.95,2370,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,11,0,0
1289,COK,Kochi,Rajesh Sharma,4.73,271,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,5,1,0
1290,PNV,Porbandar,Dinesh Pillai,4.89,2202,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,13,0,0
1291,BPI,Mayurbhanj,Santosh Kulkarni,4.66,192,Airport Express Shuttle,Tata Winger Executive,12,180,8,9,0,1
1292,PUR,Purulia,Rahul Banerjee,4.54,974,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,5,1,0
1293,DMO,Damoh,Anil Deshmukh,4.87,1117,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,7,0,0
1294,HSR,Rajkot,Anil Deshmukh,4.93,519,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,3,1,0
1295,PYB,Jeypore,Vijay Reddy,4.59,1815,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,4,1,0
1296,BTH,Bettiah,Deepak Joshi,4.95,1367,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,6,1,0
1297,NDC,Nanded,Santosh Kulkarni,4.77,1090,Hatchback (WagonR),Tata Tiago,4,250,12,13,0,0
1298,NMN,Neemrana / Alwar,Praveen Nair,4.85,895,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,3,1,0
1299,DHR,Dibrugarh,Suresh Patel,4.8,2371,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,10,0,0
1300,BGP,Bhagalpur,Mahesh Choudhary,4.73,1929,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,14,1,0
1301,SSE,Solapur,Mahesh Choudhary,4.91,1916,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,9,0,0
1302,RXL,Raxaul,Ramesh Verma,4.45,2052,Sedan (Dzire/Etios),Toyota Etios,4,350,14,8,0,0
1303,PNV,Porbandar,Rajesh Sharma,4.75,2354,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,5,0,0
1304,SXR,Srinagar,Vikram Singh,4.44,1825,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,8,0,0
1305,GON,Gondia,Harpreet Singh,4.44,487,Sedan (Dzire/Etios),Toyota Etios,4,350,14,4,0,0
1306,HSR,Rajkot,Harpreet Singh,4.69,2217,Executive Premium,Mercedes C-Class,4,1200,35,4,0,0
1307,SIH,Sirohi,Anil Deshmukh,4.91,1288,Executive Premium,Skoda Superb,4,1200,35,9,0,0
1308,RAT,Ratlam,Deepak Joshi,4.68,759,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,11,0,0
1309,IXW,Jamshedpur,Ramesh Verma,4.58,1576,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,9,0,0
1310,MAA,Chennai,Rahul Banerjee,4.55,2325,Executive Premium,Mercedes C-Class,4,1200,35,11,0,0
1311,BHO,Bhopal,Pankaj Das,4.78,304,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
1312,SWM,Ranthambore / Sawai Madhopur,Deepak Joshi,4.44,189,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,10,0,0
1313,IMF,Imphal,Rohan Mehta,4.57,1022,Airport Express Shuttle,Tata Winger Executive,12,180,8,10,0,1
1314,REW,Rewa,Sanjay Rao,4.45,214,Hatchback (WagonR),Hyundai i10,4,250,12,11,0,0
1315,CCJ,Kozhikode (Calicut),Ramesh Verma,4.72,917,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,12,0,0
1316,BLT,Balurghat,Rahul Banerjee,4.59,838,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,9,0,0
1317,AMR,Amravati,Deepak Joshi,4.81,704,Executive Premium,Toyota Camry Hybrid,4,1200,35,4,0,0
1318,KJB,Kurnool (Orvakal),Dinesh Pillai,4.9,585,Hatchback (WagonR),Hyundai i10,4,250,12,8,0,0
1319,KHO,Khowai,Sanjay Rao,4.69,1533,Executive Premium,Skoda Superb,4,1200,35,13,0,0
1320,AMB,Ambikapur,Santosh Kulkarni,4.41,1777,Sedan (Dzire/Etios),Toyota Etios,4,350,14,14,0,0
1321,CFH,Chitrakoot,Sanjay Rao,4.81,1483,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,8,1,0
1322,JRH,Jorhat,Sanjay Rao,4.94,2018,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,11,0,0
1323,IXJ,Jammu,Dinesh Pillai,4.7,1625,Hatchback (WagonR),Tata Tiago,4,250,12,8,0,0
1324,BOM,Mumbai,Santosh Kulkarni,4.41,207,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,9,1,0
1325,AMRE,Amreli,Mahesh Choudhary,4.68,2141,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,9,0,0
1326,AMH,Azamgarh,Amit Kumar,4.62,911,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,6,1,0
1327,BHU,Bathinda,Pankaj Das,4.74,575,Hatchback (WagonR),Tata Tiago,4,250,12,9,0,0
1328,IDR,Indore,Vijay Reddy,4.8,1000,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,14,0,0
1329,ASL,Asansol,Harpreet Singh,4.91,1900,Executive Premium,Toyota Camry Hybrid,4,1200,35,4,0,0
1330,SSE,Solapur,Pankaj Das,4.94,422,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,4,0,0
1331,NMS,Naliya,Amit Kumar,4.62,1241,Hatchback (WagonR),Tata Tiago,4,250,12,4,0,0
1332,GAW,Guwahati,Rahul Banerjee,4.42,1685,Airport Express Shuttle,Force Traveller AC,12,180,8,6,0,1
1333,KHA,Khandwa,Praveen Nair,4.92,981,Airport Express Shuttle,Tata Winger Executive,12,180,8,10,0,1
1334,HBX,Hubballi / Dharwad,Sanjay Rao,4.87,1009,Airport Express Shuttle,Tata Winger Executive,12,180,8,4,0,1
1335,SRA,Shravasti,Vikram Singh,4.42,1134,Executive Premium,Mercedes C-Class,4,1200,35,7,0,0
1336,OSB,Dharashiv,Vikram Singh,4.71,193,Executive Premium,Mercedes C-Class,4,1200,35,13,0,0
1337,RXL,Raxaul,Sunil Yadav,4.57,2158,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,4,0,0
1338,HSS,Hisar,Pankaj Das,4.54,1628,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,7,0,0
1339,KHA,Khandwa,Rohan Mehta,4.74,1313,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,13,1,0
1340,DON,Bhadrak / Dhamra,Suresh Patel,4.41,1911,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,11,0,0
1341,PUR,Purulia,Deepak Joshi,4.95,1311,Hatchback (WagonR),Hyundai i10,4,250,12,10,0,0
1342,SDW,Sindhudurg,Mahesh Choudhary,4.56,294,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,14,0,0
1343,NPL,Narnaul,Rohan Mehta,4.42,377,Hatchback (WagonR),Tata Tiago,4,250,12,6,0,0
1344,DMO,Damoh,Gaurav Tiwari,4.63,2374,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,9,0,0
1345,COB,Cooch Behar,Rahul Banerjee,4.49,1853,Hatchback (WagonR),Tata Tiago,4,250,12,6,0,0
1346,KUU,Kullu / Manali,Vikram Singh,4.63,1611,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,8,0,0
1347,NVM,Navi Mumbai,Deepak Joshi,4.95,667,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,9,0,0
1348,GOX,Goa (Mopa),Gaurav Tiwari,4.7,318,Executive Premium,Mercedes C-Class,4,1200,35,10,0,0
1349,UTL,Barmer,Rahul Banerjee,4.91,128,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,3,0,0
1350,KAM,Kamalpur,Deepak Joshi,4.92,1021,Airport Express Shuttle,Force Traveller AC,12,180,8,11,0,1
1351,HSS,Hisar,Sanjay Rao,4.83,2083,Executive Premium,Mercedes C-Class,4,1200,35,4,0,0
1352,DHR,Dibrugarh,Suresh Patel,4.87,1513,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,10,0,0
1353,RGD,Raigarh,Harpreet Singh,4.6,2175,Executive Premium,Toyota Camry Hybrid,4,1200,35,11,0,0
1354,IXE,Mangaluru,Vijay Reddy,4.51,481,Airport Express Shuttle,Force Traveller AC,12,180,8,11,0,1
1355,GAW,Guwahati,Sunil Yadav,4.77,1082,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,11,0,0
1356,JLG,Jalgaon,Rahul Banerjee,4.88,2069,Executive Premium,Skoda Superb,4,1200,35,3,0,0
1357,NPL,Narnaul,Sunil Yadav,4.67,1791,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,6,0,0
1358,NDC,Nanded,Sanjay Rao,4.58,373,Hatchback (WagonR),Maruti Suzuki WagonR,4,250,12,9,0,0
1359,MAA,Chennai,Ramesh Verma,4.66,104,Hatchback (WagonR),Tata Tiago,4,250,12,4,0,0
1360,SSE,Solapur,Gaurav Tiwari,4.74,687,Hatchback (WagonR),Tata Tiago,4,250,12,4,0,0
1361,NAG,Nagpur,Deepak Joshi,4.79,139,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,3,1,0
1362,BGP,Bhagalpur,Praveen Nair,4.9,1593,Airport Express Shuttle,Tata Winger Executive,12,180,8,13,0,1
1363,UDR,Udaipur,Vijay Reddy,4.54,1752,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,8,1,0
1364,AJL,Aizawl,Sanjay Rao,4.66,715,Airport Express Shuttle,Tata Winger Executive,12,180,8,9,0,1
1365,RMD,Ratnagiri,Ramesh Verma,4.67,170,Executive Premium,Mercedes C-Class,4,1200,35,5,0,0
1366,LUD,Ludhiana,Harpreet Singh,4.84,1400,Airport Express Shuttle,Force Traveller AC,12,180,8,7,0,1
1367,OSB,Dharashiv,Ramesh Verma,4.77,1539,Executive Premium,Toyota Camry Hybrid,4,1200,35,14,0,0
1368,AKL,Akola,Vikram Singh,4.42,1480,Executive Premium,Mercedes C-Class,4,1200,35,9,0,0
1369,DBR,Darbhanga,Harpreet Singh,4.88,2209,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,5,1,0
1370,HSS,Hisar,Gaurav Tiwari,4.79,1443,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,9,0,0
1371,RMD,Ratnagiri,Rahul Banerjee,4.61,1342,Sedan (Dzire/Etios),Maruti Suzuki Dzire,4,350,14,12,0,0
1372,TIR,Tirupati,Amit Kumar,4.6,1823,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,13,1,0
1373,BGP,Bhagalpur,Rohan Mehta,4.48,1613,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,4,1,0
1374,NEEM,Neemuch,Sanjay Rao,4.86,2200,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,12,1,0
1375,MUZ,Muzaffarpur,Manoj Gupta,4.83,720,Airport Express Shuttle,Tata Winger Executive,12,180,8,13,0,1
1376,AMD,Ahmedabad,Mahesh Choudhary,4.88,120,Executive Premium,Skoda Superb,4,1200,35,12,0,0
1377,BPI,Mayurbhanj,Ramesh Verma,4.47,2372,Executive Premium,Toyota Camry Hybrid,4,1200,35,12,0,0
1378,ALD,Aligarh,Anil Deshmukh,4.95,1047,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,10,1,0
1379,VNS,Varanasi,Sunil Yadav,4.86,1736,Executive Premium,Mercedes C-Class,4,1200,35,6,0,0
1380,ISK,Nashik,Amit Kumar,4.69,2065,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,4,0,0
1381,BLR,Bengaluru,Vijay Reddy,4.44,188,Airport Express Shuttle,Tata Winger Executive,12,180,8,3,0,1
1382,PYG,Gangtok / Pakyong (Sikkim),Dinesh Pillai,4.52,878,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,11,0,0
1383,NEEM,Neemuch,Vijay Reddy,4.81,201,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,9,1,0
1384,IXT,Pasighat,Pankaj Das,4.94,673,Airport Express Shuttle,Force Traveller AC,12,180,8,8,0,1
1385,RKG,Durgapur,Sunil Yadav,4.65,2100,Airport Express Shuttle,Force Traveller AC,12,180,8,9,0,1
1386,NWP,Pithoragarh,Ramesh Verma,4.48,1689,Sedan (Dzire/Etios),Toyota Etios,4,350,14,10,0,0
1387,GWL,Gwalior,Santosh Kulkarni,4.86,2270,Sedan (Dzire/Etios),Toyota Etios,4,350,14,13,0,0
1388,CJB,Coimbatore,Gaurav Tiwari,4.89,2004,Hatchback (WagonR),Tata Tiago,4,250,12,7,0,0
1389,DIU,Diu,Rajesh Sharma,4.68,2281,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,10,0,0
1390,IXB,Siliguri / Bagdogra,Suresh Patel,4.87,2178,Hatchback (WagonR),Hyundai i10,4,250,12,5,0,0
1391,IDR,Indore,Praveen Nair,4.43,2277,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,7,1,0
1392,SLN,Sultanpur,Praveen Nair,4.72,256,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,5,1,0
1393,KHA,Khandwa,Sanjay Rao,4.86,2111,Executive Premium,Toyota Camry Hybrid,4,1200,35,7,0,0
1394,RAT,Ratlam,Mahesh Choudhary,4.43,131,Executive Premium,Mercedes C-Class,4,1200,35,11,0,0
1395,SIH,Sirohi,Harpreet Singh,4.46,431,Executive Premium,Skoda Superb,4,1200,35,8,0,0
1396,AMR,Amravati,Harpreet Singh,4.67,1255,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,5,0,0
1397,BLT,Balurghat,Sunil Yadav,4.75,2082,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,6,1,0
1398,KBK,Kushinagar,Mahesh Choudhary,4.87,2207,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,10,1,0
1399,PAL,Pali,Praveen Nair,4.48,2221,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,4,0,0
1400,DGR,Deoghar,Sanjay Rao,4.59,1301,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,13,1,0
1401,IXT,Pasighat,Anil Deshmukh,4.45,566,Airport Express Shuttle,Force Traveller AC,12,180,8,4,0,1
1402,STV,Surat,Rajesh Sharma,4.41,1052,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,4,0,0
1403,RJA,Rajahmundry,Harpreet Singh,4.9,2335,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,9,1,0
1404,COK,Kochi,Ramesh Verma,4.88,976,Hatchback (WagonR),Hyundai i10,4,250,12,7,0,0
1405,RAT,Ratlam,Gaurav Tiwari,4.59,935,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,3,1,0
1406,AMH,Azamgarh,Manoj Gupta,4.77,2196,Airport Express Shuttle,Force Traveller AC,12,180,8,14,0,1
1407,JSA,Jaisalmer,Amit Kumar,4.85,188,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,6,0,0
1408,NDC,Nanded,Manoj Gupta,4.68,944,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,9,1,0
1409,BDQ,Vadodara,Praveen Nair,4.73,819,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,5,0,0
1410,JLG,Jalgaon,Ramesh Verma,4.4,560,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,11,0,0
1411,RMD,Ratnagiri,Rahul Banerjee,4.95,1303,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,14,0,0
1412,IXT,Pasighat,Pankaj Das,4.93,139,Airport Express Shuttle,Tata Winger Executive,12,180,8,11,0,1
1413,MZS,Sonbhadra,Pankaj Das,4.93,1284,Sedan (Dzire/Etios),Hyundai Aura,4,350,14,7,0,0
1414,NWP,Pithoragarh,Gaurav Tiwari,4.71,699,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,12,1,0
1415,JGD,Jagdalpur,Vijay Reddy,4.89,1264,Hatchback (WagonR),Hyundai i10,4,250,12,4,0,0
1416,SSE,Solapur,Deepak Joshi,4.54,702,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,8,1,0
1417,JGA,Jamnagar,Sunil Yadav,4.95,1224,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,7,0,0
1418,SSE,Solapur,Santosh Kulkarni,4.61,1722,Airport Express Shuttle,Tata Winger Executive,12,180,8,14,0,1
1419,CNN,Kannur,Gaurav Tiwari,4.45,99,Sedan (Dzire/Etios),Toyota Etios,4,350,14,3,0,0
1420,STV,Surat,Ramesh Verma,4.85,2376,Electric EV (Nexon/Tigor),Tata Nexon EV,4,400,16,12,1,0
1421,DIU,Diu,Pankaj Das,4.65,1037,Hatchback (WagonR),Hyundai i10,4,250,12,14,0,0
1422,UTL,Barmer,Praveen Nair,4.75,1012,Airport Express Shuttle,Tata Winger Executive,12,180,8,10,0,1
1423,PYG,Gangtok / Pakyong (Sikkim),Sunil Yadav,4.72,127,Executive Premium,Mercedes C-Class,4,1200,35,13,0,0
1424,NMN,Neemrana / Alwar,Harpreet Singh,4.56,836,SUV (Ertiga/Innova),Maruti Ertiga,6,650,20,14,0,0
1425,PGH,Pantnagar / Nainital,Santosh Kulkarni,4.92,2122,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,5,0,0
1426,DMU,Dimapur,Amit Kumar,4.7,1876,Electric EV (Nexon/Tigor),Tata Tigor EV,4,400,16,9,1,0
1427,ISK,Nashik,Amit Kumar,4.55,884,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,4,0,0
1428,RJA,Rajahmundry,Rajesh Sharma,4.59,1081,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,11,0,0
1429,KHA,Khandwa,Rahul Banerjee,4.74,1035,Hatchback (WagonR),Hyundai i10,4,250,12,6,0,0
1430,LUD,Ludhiana,Rajesh Sharma,4.68,664,Hatchback (WagonR),Hyundai i10,4,250,12,3,0,0
1431,UTL,Barmer,Sunil Yadav,4.62,495,Sedan (Dzire/Etios),Toyota Etios,4,350,14,6,0,0
1432,VTZ,Visakhapatnam,Mahesh Choudhary,4.58,287,Airport Express Shuttle,Force Traveller AC,12,180,8,9,0,1
1433,DON,Bhadrak / Dhamra,Praveen Nair,4.61,1776,Executive Premium,Skoda Superb,4,1200,35,4,0,0
1434,NMS,Naliya,Harpreet Singh,4.65,1532,Sedan (Dzire/Etios),Toyota Etios,4,350,14,8,0,0
1435,JGA,Jamnagar,Mahesh Choudhary,4.79,276,Executive Premium,Mercedes C-Class,4,1200,35,3,0,0
1436,PNV,Porbandar,Rohan Mehta,4.51,394,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,6,1,0
1437,CCU,Kolkata,Ramesh Verma,4.95,755,Executive Premium,Mercedes C-Class,4,1200,35,8,0,0
1438,DHR,Dibrugarh,Ramesh Verma,4.73,1685,Electric EV (Nexon/Tigor),MG ZS EV,4,400,16,5,1,0
1439,BAR,Baramati,Vijay Reddy,4.42,1125,SUV (Ertiga/Innova),Toyota Innova Crysta,6,650,20,3,0,0
1440,PNV,Porbandar,Anil Deshmukh,4.91,1161,SUV (Ertiga/Innova),Mahindra XUV700,6,650,20,6,0,0
1441,COB,Cooch Behar,Praveen Nair,4.45,1937,Hatchback (WagonR),Tata Tiago,4,250,12,12,0,0
